Timestamp,Hora,Archivo,cache_hits,cache_hits_from_query,cache_misses,cache_misses_from_query,incoming_queries_A
18/02/2026,18:45:13,named.stats,248,248,1248,546,722
18/02/2026,18:45:14,named.stats,248,248,1708,763,923
18/02/2026,18:45:15,named.stats,253,253,2126,959,1109
18/02/2026,18:45:17,named.stats,343,343,2396,1081,1294
18/02/2026,18:45:18,named.stats,528,528,2396,1081,1474
18/02/2026,18:45:19,named.stats,554,554,2396,1081,1500
18/02/2026,18:45:20,named.stats,583,583,2396,1081,1525
18/02/2026,18:45:21,named.stats,848,848,2454,1084,1761
18/02/2026,18:45:22,named.stats,1092,1092,2488,1087,1999
18/02/2026,18:45:24,named.stats,1444,1385,2488,1090,2259
18/02/2026,18:45:25,named.stats,1700,1637,2488,1092,2504
18/02/2026,18:45:26,named.stats,1977,1910,2488,1094,2746
18/02/2026,18:45:28,named.stats,2254,2187,2488,1094,3011
18/02/2026,18:45:29,named.stats,2546,2473,2488,1097,3264
18/02/2026,18:45:30,named.stats,2801,2726,2488,1098,3509
18/02/2026,18:45:31,named.stats,3090,3011,2488,1100,3760
18/02/2026,18:45:33,named.stats,3367,3286,2488,1101,4023
18/02/2026,18:45:34,named.stats,3694,3581,2488,1104,4288
18/02/2026,18:45:35,named.stats,3917,3798,2488,1107,4500
18/02/2026,18:45:36,named.stats,3917,3798,2488,1107,4500
18/02/2026,18:45:38,named.stats,4012,3889,2488,1109,4580
18/02/2026,18:45:39,named.stats,4198,4059,2488,1117,4736
18/02/2026,18:45:40,named.stats,4369,4226,2488,1119,4893
18/02/2026,18:45:41,named.stats,4537,4392,2488,1120,5050
18/02/2026,18:45:43,named.stats,4713,4564,2488,1122,5205
18/02/2026,18:45:44,named.stats,4895,4736,2488,1127,5367
18/02/2026,18:45:45,named.stats,5081,4890,2488,1130,5520
18/02/2026,18:45:46,named.stats,5257,5062,2488,1132,5671
18/02/2026,18:45:48,named.stats,5428,5229,2488,1134,5822
18/02/2026,18:45:49,named.stats,5591,5388,2488,1136,5978
18/02/2026,18:45:50,named.stats,5765,5558,2488,1138,6131
18/02/2026,18:45:51,named.stats,5941,5726,2488,1142,6283
18/02/2026,18:45:53,named.stats,6107,5882,2488,1147,6436
18/02/2026,18:45:54,named.stats,6282,6049,2488,1151,6594
18/02/2026,18:45:55,named.stats,6462,6221,2488,1155,6747
18/02/2026,18:45:56,named.stats,6656,6383,2488,1158,6901
18/02/2026,18:45:58,named.stats,6753,6480,2488,1158,6998
